DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,KS,98,165598.7551,50333.10204,43001.83674
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,IN,107,250290.7664,70306.52336,54657.76636
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,MO,114,157081.5,53421.85965,48885.2193
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,MI,115,152711.1044,62075.84348,55915.62609
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,LA,120,192747.975,51360.79167,45968.21667
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,IL,121,234422.5207,78690.72727,55400.93388
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,AZ,122,278530.3279,62186.23771,57378.93443
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,TN,141,233439.0709,56093.66667,47901.17021
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,OH,157,199370.3758,57535.19108,48975.03822
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,VA,168,275151.8631,60890.625,51876.85119
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,OK,171,165464.076,48448.50877,44236.53216
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,GA,181,203346.1989,57309.55801,48685.51934
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,PA,182,246610.0495,62460.99451,52350.2967
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,MN,242,131253.905,59198.33884,53246.2686
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,CO,263,356967.0799,66492.55894,57195.27376
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,WA,290,216851.3759,68420.48276,56587.16552
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,NC,308,192357.4805,55014.18182,49143.91234
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,NY,310,210335.329,77641.45807,61782.22581
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,FL,382,301469.2278,56285.74346,50270.31937
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,TX,683,259534.5198,56630.76281,47894.36896
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,CA,1067,394572.254,79205.35145,73297.43112
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,SD,12,158833.25,41751.58333,37389
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,AR,20,118811.45,41111.1,31804.95
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,IA,20,137799.5,39215.5,29874.35
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,WV,22,195258.5,48078.54546,37999.59091
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,WY,24,123489.875,64771.16667,63462.16667
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,NE,34,134460.0588,40139.47059,37180.94118
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,DC,36,211113.3889,60955.11111,42688.75
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,ID,37,143047.6757,43392.40541,38867.72973
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,MT,37,116315.5676,43163.89189,37653.45946
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,CT,45,150547,52443.28889,50902.95556
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,MS,48,136711.6458,36614.52083,30769.16667
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,WI,50,110976.8,45321.54,36762.3
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,NJ,56,178407.6429,51197.75,40369.23214
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,MD,61,53391.29508,49781,40850.01639
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,KY,65,197893.0769,42987.61539,36562.06154
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,DE,72,112012.7778,56846.05556,37118.08333
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,IL,73,159646.7123,57842.76712,36927.49315
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,NV,73,247662.6301,47335,38518.83562
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,UT,73,138501,45804.41096,38392.91781
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,MA,81,102567.9506,60658.34568,56558.82716
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,MI,84,139669.5714,46993.75,43312.57143
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,MN,93,95615.36559,44832.86022,41039.69893
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,IN,96,205881.0938,46777.72917,43600.34375
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,TN,99,196950.7071,42778.91919,33957.51515
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,OR,100,128092.23,48903.25,43019.3
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,KS,106,141538.3019,36556.98113,33288.60377
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,SC,108,284304.3611,40357.47222,35682.75926
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,MO,118,127633.1864,39325.89831,35630.89831
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,AZ,126,216540.6746,46443.79365,40605.51587
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,PA,127,168777.1339,48832.70866,38777.01575
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,OK,138,157405.7101,44581.64493,39767.81159
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,OH,145,166095.0552,43048.89655,37039.03448
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,NY,160,141691.8125,50319.96875,46072.08125
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,CO,173,249729.8671,49973.71676,45144.07515
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,AL,180,234558.5556,35788.83333,30445.35
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,LA,204,154362.8333,40047.23529,35559.34314
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,GA,208,179070.8221,46359.60577,38318.43269
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,VA,243,170194.5226,45792.43621,35529.36626
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,WA,364,147282.9121,48147.64011,39559.36813
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,NC,381,155750.6194,44713.35696,36637.72966
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,FL,417,217834.2206,41002.73861,36064.11031
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,TX,601,202767.802,45780.47754,36715.88353
COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,CA,692,302238.9017,58633.8396,52236.62139
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,MT,11,246677.2727,84453.90909,77961.36364
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,OR,11,211745.8182,91435.81818,78192.36364
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,NE,14,207564.2857,69312.35714,67396.42857
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,NV,14,477852.1429,84948.07143,63532.21429
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,WI,14,249666.0714,73601.07143,71413.07143
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,KS,18,304464.5,65640.55556,59380.16667
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,LA,18,204066.6111,73335,52747
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,CT,19,245000.4211,98718.57895,72678.21053
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,IA,19,233862.0526,71314,68900.21053
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,NJ,22,307923.0455,80763.09091,77494.59091
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,SC,22,214918.3636,68482.45455,59335.54546
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,UT,22,172494.8182,75425.40909,66544.86364
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,KY,23,278266.8261,69383.56522,66453.13044
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,AL,24,238614.375,60251.25,55964.45833
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,DC,26,347562.1154,93375.96154,80184.23077
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,AR,27,176874.1111,60519.07407,54858.62963
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,MD,32,101658.9063,94081.90625,85712.3125
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,GA,34,252343.2353,71553.14706,65377.5
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,OK,36,226949.9722,62224.02778,54046.36111
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,MA,38,205350.3158,90378.52632,87421.57895
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,MN,40,188659.725,87434.625,68202.8
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,MO,43,252720.3721,71274.13954,67595.44186
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,IN,45,272564.6,70451.44444,68387.51111
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,AZ,50,335826.22,81267.96,78821.64
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,VA,55,339302.9455,86436.45455,67586.16364
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,WA,58,313440.8448,86331.15517,80310.72414
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,TN,59,286103.3729,69506.76271,57422.86441
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,NC,63,242211.5397,75301.5873,67463.39683
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,PA,72,342175.0278,75588.29167,69288.06944
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,MI,74,162132.4054,70834.51351,67885.51351
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,OH,90,250544.6111,75655.66667,64234.13333
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,CO,92,471463.6848,91471.73913,74242.61957
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,FL,97,379752.866,68579.90722,64981.04124
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,TX,98,386348.949,76972.84694,66359.57143
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,IL,102,296899.5098,81873.08824,72871.18628
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,NY,118,335808.7881,101944.3983,89613.17797
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,CA,189,525479.3175,109085.0159,100845.6032
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,SD,11,189846.4546,47685.54546,46158.81818
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,WV,11,146369,50001.45455,46784.63636
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,AK,12,374852.6667,80546.33333,70737.16667
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,DE,13,159327.6154,66158.46154,51223
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,ME,13,98734.30769,49603.38462,47967.76923
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,MT,17,243638.4118,67968,66675
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,NM,17,240275.1765,70638.94118,54955.88235
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,ND,22,108049.0909,43648.95455,42186.77273
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,ID,25,183353.52,48623.88,47276.92
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,RI,25,158935.56,61367.12,55919.16
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,OR,33,157120.8788,60820.39394,58608.9697
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,KY,39,200091.2308,43322.53846,41638.46154
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,CT,40,140252.175,66777.85,51985.4
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,DC,40,221367.85,64618.675,48350.525
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,NV,40,279625.85,51639.825,45510.9
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,UT,43,147381.6279,53834.69767,47793.97674
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,NE,47,157512.617,44931.89362,42134.68085
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,WI,47,156122.4468,52536.12766,44423.89362
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,IA,49,129140.2041,46965.20408,41472.12245
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,AL,50,156539.02,42274.24,34972.64
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,SC,52,219796.4615,54463.67308,46539.03846
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,NJ,55,228886.1273,57139.81818,52111.4
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,AR,58,134636.0517,45093.98276,39371.2069
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,KS,64,167035.4375,48687.48438,39249.89063
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,LA,71,172028.2254,46048.88732,42106.28169
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,IN,92,258102.3152,58491.11957,51682.40217
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,MO,94,169945.8404,48833.7234,46975.11702
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,GA,103,195829.4466,50537.53398,45080.3301
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,MA,131,154504.2977,65827.67176,61455.22137
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,MN,134,131740.7761,58880.52239,50241.77612
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,WA,140,254239.9286,64350.97143,56304.7
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,AZ,142,237440.8732,56687.73944,50743.88732
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,VA,150,279760.5933,63945.55333,51472.21333
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,MD,151,79608.90066,73576.42384,68305.81457
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,PA,156,239646.7436,55115.44872,47803.35256
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,CO,161,358474.1677,59239.98137,51123.84472
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,OK,161,151465.3975,42219.79503,37238.04348
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,NC,166,193132.0482,53792.39759,47490.16265
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,TN,174,248927.2241,54436.72989,48450.06322
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,OH,186,174184.2796,49443.44086,46147.73656
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,IL,219,235304.3105,62221.03196,49610.75343
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,MI,226,132095.5089,53212.74779,48183.28319
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,FL,247,240635.6316,46965.95951,42632.71255
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,NY,323,256624.7802,75565.41486,64538.95046
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,TX,342,246877.2602,50869.93567,43605.76901
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,CA,392,339359.9158,72313.97704,67546.90816
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,ME,12,73229.16667,53056.83333,23084.83333
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,NV,12,194646.0833,40602.08333,36073.58333
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,NJ,15,118875.2667,48571.06667,38659.4
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,IA,19,130571.5263,35904.84211,34470.10526
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,KS,19,107119.1579,33428.63158,32190.73684
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,KY,19,262813.0526,51043.10526,44646.10526
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,OR,19,111291.8947,41270.84211,39689
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,MT,20,132139.4,39195.65,37840.5
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,NE,20,125739.75,37742.05,33228.8
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,AR,21,105451.6191,30911.2381,27855.95238
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,MN,23,79629.21739,42246.17391,40343.3913
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,UT,24,117968,36532.41667,33546.875
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,DC,27,193580.5185,52536.44444,38031.40741
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,AL,30,144618.9,31899.96667,27222.03333
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,MO,31,128655.7097,34778.70968,30873.29032
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,SC,31,220792.8065,40899.16129,32619.74194
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,AZ,39,171501,40845.76923,37141.71795
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,LA,43,121035.6744,34534.86047,29871.69767
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,MA,43,114223.1163,49720,43268.23256
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,VA,46,249349.6957,52386.67391,42643.63044
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,WA,46,173574.0217,46306.56522,35317.15217
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,CO,48,203751.6042,37946.20833,36344.10417
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,TN,53,131555.0377,35026.37736,29944.67925
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,MI,61,96664.40984,37917.86885,34752.93443
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,OH,63,133900.9683,35204.71429,31339.53968
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,PA,64,173884.1719,39832.125,35946.23438
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,IL,65,167256.1846,50182.58462,34057.09231
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,NC,65,144780.8154,40025.26154,32615.03077
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,NY,65,139129.8769,49017.50769,44290.46154
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,MD,71,62990.52113,58339.28169,52738.94366
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,IN,73,181165.3288,43443.50685,31895.23288
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,GA,80,159999.275,36746.2625,34066.5
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,OK,84,115910.6191,32178.15476,27263.33333
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,TX,113,190833.9469,40699.0885,33685.76106
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,CA,115,217546,49676.29565,42846.88696
SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,FL,170,165405.8412,34272.05294,30495.95882
SPINAL FUSION EXCEPT CERVICAL W MCC,ME,14,103977.3571,45939.07143,36535.64286
SPINAL FUSION EXCEPT CERVICAL W MCC,NM,20,169934.3,43125.85,35595.6
SPINAL FUSION EXCEPT CERVICAL W MCC,SD,22,130803.8182,44570.68182,35774.18182
SPINAL FUSION EXCEPT CERVICAL W MCC,MT,24,129672.3333,44532.04167,43217.33333
SPINAL FUSION EXCEPT CERVICAL W MCC,NH,24,139740.6667,55578.16667,41967.75
SPINAL FUSION EXCEPT CERVICAL W MCC,RI,24,92417.91667,51068.66667,43057.25
SPINAL FUSION EXCEPT CERVICAL W MCC,DE,27,110504.5185,54802.48148,37720.62963
SPINAL FUSION EXCEPT CERVICAL W MCC,WV,28,152789.8571,42044.96429,38898
SPINAL FUSION EXCEPT CERVICAL W MCC,DC,37,211520.3514,58277.62162,50693.02703
SPINAL FUSION EXCEPT CERVICAL W MCC,UT,42,113497.6667,48230.59524,36549.38095
SPINAL FUSION EXCEPT CERVICAL W MCC,ID,43,118279.7442,42494.37209,39079.53488
SPINAL FUSION EXCEPT CERVICAL W MCC,NE,48,133071.2083,42435.54167,37612.41667
SPINAL FUSION EXCEPT CERVICAL W MCC,OR,48,147476.6875,53335.58333,51317.39583
SPINAL FUSION EXCEPT CERVICAL W MCC,AR,53,111826.1132,35712.9434,31111.73585
SPINAL FUSION EXCEPT CERVICAL W MCC,ND,53,105869.3774,39752.56604,37313.88679
SPINAL FUSION EXCEPT CERVICAL W MCC,MS,58,133779.0862,33409.56897,30836
SPINAL FUSION EXCEPT CERVICAL W MCC,IA,69,131967.5942,41950.71015,37180.82609
SPINAL FUSION EXCEPT CERVICAL W MCC,WI,69,136324.8841,47269.02899,38730.66667
SPINAL FUSION EXCEPT CERVICAL W MCC,CT,75,146030.24,55404.38667,48631.30667
SPINAL FUSION EXCEPT CERVICAL W MCC,LA,80,174458.55,41774.9125,37594.9875
SPINAL FUSION EXCEPT CERVICAL W MCC,NV,80,293941.4125,44092.3,41319
SPINAL FUSION EXCEPT CERVICAL W MCC,OK,80,178755.8,37999.275,33599.4
SPINAL FUSION EXCEPT CERVICAL W MCC,SC,82,195192.4634,45913.10976,42398.30488
SPINAL FUSION EXCEPT CERVICAL W MCC,AL,101,169446.901,35832.9901,30506.11881
SPINAL FUSION EXCEPT CERVICAL W MCC,KS,101,137256.4753,39296.69307,33444.04951
SPINAL FUSION EXCEPT CERVICAL W MCC,NJ,103,218680.4952,49978.14563,43269.35922
SPINAL FUSION EXCEPT CERVICAL W MCC,KY,106,176229.8868,41759.36793,36337.50943
SPINAL FUSION EXCEPT CERVICAL W MCC,AZ,128,208674.9141,48690.51563,44961.90625
SPINAL FUSION EXCEPT CERVICAL W MCC,MA,136,112747.0441,54879.58088,52329.19118
SPINAL FUSION EXCEPT CERVICAL W MCC,WA,137,199761.0584,52908.67883,46894.52555
SPINAL FUSION EXCEPT CERVICAL W MCC,MD,147,55645.89116,51381.77551,48894.12245
SPINAL FUSION EXCEPT CERVICAL W MCC,MN,150,113572.9533,47114.32,43432.63333
SPINAL FUSION EXCEPT CERVICAL W MCC,TN,165,157212.0606,40302.98182,34360.78182
SPINAL FUSION EXCEPT CERVICAL W MCC,GA,166,150079.2289,41937.53615,35750.43976
SPINAL FUSION EXCEPT CERVICAL W MCC,IN,166,184659.6506,44153.60843,39448.89759
SPINAL FUSION EXCEPT CERVICAL W MCC,MO,168,166235.8691,43064.07143,39196.13691
SPINAL FUSION EXCEPT CERVICAL W MCC,CO,180,273936.6444,48036.61111,44211.26667
SPINAL FUSION EXCEPT CERVICAL W MCC,VA,197,179978.5127,46864.16244,38303.41624
